a  阿 啊
tiao  佻 挑 条 苕 迢 笤 调 挑 窕 眺 跳 粜
tie  帖 贴 萜 铁
ting  厅 汀 听 烃 廷 莛 庭 蜓 霆 亭 停 婷 挺 铤 艇
tong  通 仝 同 茼 桐 铜 佟 彤 童 僮 潼 瞳 筒 统 捅 桶 恸 痛
tou  偷 头 投 骰 透
tu  凸 秃 突 图 荼 途 涂 徒 屠 土 吐 兔 菟
tuan  湍 团 抟 疃
tui  忒 推 颓 腿 退 煺 褪 蜕
tun  吞 屯 囤 饨 豚 臀 氽 褪
tuo  托 拖 脱 驮 佗 陀 驼 鸵 妥 椭 拓 唾 魄
wa  挖 哇 洼 蛙 娲 娃 瓦 佤 袜
wai  歪 崴 外
wan  弯 湾 剜 蜿 豌 丸 纨 完 玩 顽 烷 宛 惋 婉 碗 莞 脘 皖 挽 晚 绾 万 腕 蔓
wang  亡 汪 王 网 罔 惘 辋 魍 枉 往 旺 望 妄 忘
wei  危 委 逶 巍 威 偎 煨 微 薇 韦 违 围 帏 为 圩 桅 唯 帷 惟 维 潍 伟 苇 纬 玮 炜 伪 尾 娓 诿 萎 痿 猥 卫 未 味 位 畏 喂 胃 谓 猬 渭 尉 蔚 慰 魏
wen  温 瘟 文 纹 蚊 雯 闻 刎 吻 紊 稳 问
weng  翁 嗡 瓮
wo  挝 莴 涡 窝 蜗 倭 喔 我 沃 卧 握 幄 龌 斡
wu  乌 呜 钨 圬 污 巫 诬 屋 恶 无 芜 毋 吾 唔 梧 吴 蜈 五 伍 午 忤 妩 武 鹉 侮 捂 舞 兀 勿 物 坞 戊 务 雾 误 悟 晤 焐 鹜
xi  夕 汐 矽 兮 西 茜 栖 牺 硒 吸 希 稀 昔 惜 析 淅 晰 蜥 息 熄 螅 奚 溪 悉 蟋 犀 樨 锡 熙 僖 嘻 嬉 熹 膝 曦 醯 习 席 袭 媳 隰 洗 铣 玺 徙 屣 喜 禧 戏 系 细 隙
xia  呷 虾 瞎 匣 狎 侠 峡 狭 硖 遐 瑕 暇 霞 辖 黠 下 吓 夏 厦 唬
xian  仙 籼 先 纤 掀 锨 鲜 闲 娴 痫 贤 弦 舷 咸 涎 衔 嫌 冼 显 险 蚬 藓 苋 现 县 限 线 宪 陷 馅 羡 腺 献
xiang  乡 相 厢 湘 箱 香 襄 镶 详 祥 降 翔 享 响 饷 想 向 项 巷 象 像 橡
xiao  肖 削 逍 消 宵 硝 销 霄 枭 骁 萧 潇 箫 嚣 淆 小 晓 孝 哮 笑 校 效 啸
